開始時間,レッスン時間,講師ID,講師名,レッスンタイプ,講師カテゴリ
2023-04-18 (Tue) 12:23,10,3376,"Fdc Counselor Kim",通常レッスン,1
2023-04-18 (Tue) 12:09,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 12:04,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 12:03,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 12:02,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 12:02,6,3376,"Fdc Counselor Kim",通常レッスン,1
2023-04-18 (Tue) 12:01,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 12:01,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 12:00,25,3412,"OFC2 KHEL",通常予約,6
2023-04-18 (Tue) 11:59,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:58,6,2861,"Melvin Office",通常レッスン,33
2023-04-18 (Tue) 11:57,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:56,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:55,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:55,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:54,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:49,11,2794,"Teacher Karling",通常レッスン,6
2023-04-18 (Tue) 11:49,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:41,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:39,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:26,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:25,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:24,0,3768,"Teacher 32",通常レッスン,2
2023-04-18 (Tue) 11:19,5,3397,"FDC1 AVATAR",通常レッスン,6
2023-04-18 (Tue) 11:18,13,3578,"PROF ANGRY",通常レッスン,2
2023-04-18 (Tue) 11:06,3,3412,"OFC2 KHEL",通常レッスン,6
